Climate Emergency Declaration (CED) data sheet,,,,<-Click link in Cell A1 to view as full-screen directly in Google Drive,,,,,,,,,,,,,,,,,,,
Number of CED places:,,2366,,Total population:,"1,065,477,438",<-includes EU declaration | global % ->,,13.44%,,,,,,,,,,,,,,,
Nations with at least one CED place:,,40,,Total population:,"852,146,370",<-excluding EU declaration,,10.65%,,,,,,,,,,,,,,,
Number of national CEDs:,,18 (& EU),,Total population:,"377,163,097",<-excluding national and EU declarations,,4.71%,,,,,,,,,,,,,,,
Number of subnational state/region CEDs:,,41,,,,,,,,,,,,,,,,,,,,,
"To ask for additions or corrections to this data sheet, email info@cedamia.org",,,,,(See note re targets on the Notes tab),,,,,,,,,,,,,,,,,,
Jurisdictions (by country),,Region,Population,Date,Carbon neutral / net zero target dates,,Declaration type,Minutes / motion text,Media article,CE Action Plan,Council news,Agenda item,Council majority / strongest group,Council composition,C40,ICLEI,Covenant of Mayors,Under2,Carbon Neutral Cities Alliance,Climate Alliance,Cities Power Partnership,Race to Zero,Fossil Fuel Non-proliferation Treaty
Mayo County Council,,West,"130,507",18 Jan 2021,,,Climate + Biodiversity,https://eagenda.mayo.ie/FilesUpLoaded/202125957Item01_DraftMinutes_Meeting18012021.pdf,,Ch 11 in https://www.mayo.ie/getmedia/aae4ebe0-808a-40ac-a306-01d849cd1fa0/Vol-1-Draft-Mayo-County-Development-Plan-2021-2027-FINAL.pdf,,https://eagenda.mayo.ie/,,,,,,,,,,,
Meath County Council,,Mid-East,"195,044",1 Jul 2019,,,Climate + Biodiversity,https://www.meath.ie/system/files/media/file-uploads/2019-09/07-2019%20Minutes%20July%20Meath%20County%20Council_Website.pdf,,https://www.meath.ie/system/files/media/file-uploads/2019-09/Meath%20CC%20Report_v4_0.pdf,,https://www.meath.ie/system/files/media/file-uploads/2019-06/07-2019%20Agenda%20July%20Meath%20County%20Council_Website.pdf,NOC,"Fianna Fáil (12), Fine Gael (12), Sinn Féin (3), Labour Party (1), Social Democrats (1), Aontú (1), Independent (10)",,,,,,,,,
Offaly County Council,,Midlands,"77,961",16 Sep 2019,,,Climate + Biodiversity,https://www.cedamia.org/ced-regions-in-ireland/,,https://www.offaly.ie/eng/Services/Planning/County-Development-Plan-2021-2027/Stage-4-Final-Plan/Chapter%203%20-%20Climate%20Action%20and%20Energy.pdf,,https://www.offaly.ie/eng/Services/Your-Councils/Offaly-County-Council-Meetings/Meeting-Agendas/Agendas-2019/September-2019-Notice-of-Meeting-and-Agenda.pdf,,,,,,,,,,,
Roscommon County Council,,West,"64,544",24 Jun 2019,,,Climate + Biodiversity,https://meetings.roscommoncoco.ie/documents/g1532/Printed%20minutes%2024th-Jun-2019%2014.15%20Monthly%20Meeting.pdf?T=1,,,,,,,,,,,,,,,
Tipperary County Council,,Mid-West,"159,553",13 May 2019,,,Climate + Biodiversity,https://www.tipperarycoco.ie/sites/default/files/Adopted%20TCC%20Minutes%2013th%20May%2C%202019.pdf,,,,,,,,,,,,,,,
Westmeath County Council,,Midlands,"88,770",23 Sep 2019,,,Climate + Biodiversity,http://www.westmeathcoco.ie/en/ourservices/yourcouncil/meetingsminutesagendasandreports/westmeathcountycouncil/2019/septembermonthlymeeting.html,http://www.westmeathexaminer.ie/2019/10/04/westmeath-latest-to-agree-to-declare-climate-emergency/,https://www.westmeathcoco.ie/en/media/Volume1WrittenStatement.pdf,,https://www.westmeathcoco.ie/en/ourservices/yourcouncil/meetingsminutesagendasandreports/westmeathcountycouncil/2019/septembermonthlymeeting.html,,,,,,,,,,,
Wexford County Council,,South-East,"149,722",8 Jul 2019,,,Climate + Biodiversity,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/Final-County-Council-Meeting-08-07-19.pdf,,https://consult.wexfordcoco.ie/en/consultation/draft-wexford-county-development-plan-2021-2027/chapter/chapter-2-climate-action,,,,,,,,,,,,,
Wicklow County Council,,Mid-East,"142,425",29 Apr 2019,,,Climate + Biodiversity,https://www.wicklow.ie/Portals/0/Documents/Council%20Meetings/Minutes-Agendas/2019/29%20April%202019%20Ordinary%20Meeting%20of%20Wicklow%20County%20Council.pdf,https://greennews.ie/wicklow-county-council-climate-emergency/,,,https://www.wicklow.ie/Portals/0/Agenda%2029%2004%2019.pdf,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,No. of CEDs,,% of population:,,,,,,,,,,,,,,,,,,,
Ireland totals:,,19,"4,977,400",100.00%,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Italy,,114,<-CED total for Italy,,,2050,,"If Minutes cell below is empty, please send us a minutes link if you have one!",,,,,Mayor,,,,,,,,,,
Acri City Council,,Calabria,"20,480",29 Apr 2019,,,emergenza climatica,https://www.cedamia.org/wp-content/uploads/2019/05/DELIBERA-CONSIGLIO-COMUNALE-ACRI.pdf,https://www.facebook.com/Fridays-For-Future-ACRI-436134900458902/,,,,Partito Democratico,,,,Yes,,,,,,
Agrate Brianza Municipal Council,,Lombardy,"14,820",25 Sep 2019,,2030,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2019/10/Agrate-Brianza-MB.pdf,,,,,"lista civica ""Insieme per Agrate""",,,,Yes,,,,,,
Alagna Valsesia Village Council,,Piedmont,432,1 Aug 2019,,,Climatica e Ambientale,https://www.servizipubblicaamministrazione.it/Siti/lgnvlss231/AlboPretorio/2019/2019-000418-1.PDF,,,,,lista civica: Insieme,,,,,,,,,,
Alba Adriatica City Council,,Abruzzo,"12,475",14 Feb 2020,,,emergenza climatica,,https://abruzzo.cityrumors.it/notizie-teramo/politica-teramo/alba-adriatica-dichiara-lo-stato-di-emergenza-climatica-le-delibere-approvate-in-consiglio.html,,,,,,,,Yes,,,,,,
Almese Council,,Piedmont,"6,423",30 Sep 2019,,,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2019/12/Almese-TO.pdf,,,,,lista civica Bene Comune,,,,Yes,,,,,,
Ancona Council,,Marche,"101,300",30 Sep 2019,,,emergenza climatica,https://www.cedamia.org/wp-content/uploads/2019/12/Ancona-AN.pdf,,,,,"Partito Democratico
PD–FdV–Civiche)",,,Yes,Yes,,,,,,
Aosta City Council,,Aosta Valley,"34,800",23 May 2019,,2040,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2019/06/Aosta-AO.pdf,,,,,Partito Democratico,,,,,,,,,,
Arzachena Council,,Sardinia,"13,723",26 Sep 2019,,,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2019/12/Arzachena-Olbia-SS.pdf,,,,,"lista civica ""Alleanza Democratica"" ",,,,Yes,,,,,,
Avigliana City Council,,Piedmont,"12,480",25 Sep 2019,,2030,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2019/12/Avigliana-TO.pdf,,,,,lista civica Avigliana Città Aperta,,,,Yes,,,,,Yes,
Bari City Council,,Puglia,"326,799",24 Sep 2019,,,Climatica e Ambientale,https://www.comune.bari.it/-/la-giunta-comunale-aderisce-alle-iniziative-contro-i-cambiamenti-climatici-promossi-dal-movimento-friday-for-future,,,,,,,,,Yes,,,,,,
Belluno Town Council,,Veneto,"35,876",29 Nov 2019,,,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2020/08/Belluno-BL.pdf,,,,,,,,,Yes,,,,,,
Bergamo Municipal Council,,Lombardy,"122,243",8 Jul 2019,,,Climatica e Ambientale,https://www.bergamonews.it/wp-content/uploads/2019/10/Mozione-emergenza-climatica29lug.pdf,,,,,,,,,Yes,,,,,,
Besozzo Municipal Council,,Lombardy,"8,793",13 Jun 2020,,,emergenza climatica,http://reteperilclimadelverbano.it/doc/dichiarazione-di-emergenza-climatica/,https://www.varesenews.it/2020/11/anche-luino-pronta-dichiarare-lemergenza-climatica/1278600/,,,,,,,,,,,,,,
Bologna City Council,,Emilia-Romagna,"390,636",30 Sep 2019,,2030,climatica ed ecologica,https://www.cedamia.org/wp-content/uploads/2019/11/Bologna-odg-presidenza.pdf,https://www.ilfattoquotidiano.it/2019/10/02/bologna-la-citta-dichiara-stato-di-emergenza-climatica-e-lo-fa-accettando-il-manifesto-degli-attivisti-di-extinction-rebellion/5491110/,,,,Partito Democratico,,,Yes,Yes,,,Yes,,,
Bolzano City Council,,Trentino-Alto,"107,436",14 Nov 2019,,,Climatica e Ambientale,https://www.climatealliance.org/fileadmin/Inhalte/2_Municipalities/Climate_Emergency/Bolzano_Emergenza_climatica.pdf,,,,,,,,,Yes,,,Yes,,,
Bregnano Council,,Lombardy,"6,466",11 Jul 2019,,,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2019/12/Bregnano-CO.pdf,,,,,lista civica di centro-sinistra Bregnano in movimento,,,,Yes,,,,,,
Brenta Municipal Council,,Lombardy,"1,697",30 Sep 2020,,,Climatica e Ambientale,https://www.comune.brenta.va.it/zf/index.php/atti-amministrativi/delibere/dettaglio/table-delibere-public-page/2/atto/GTkRFN1ERPT0-F,https://www.varesenews.it/2020/11/anche-luino-pronta-dichiarare-lemergenza-climatica/1278600/,,,,,,,,,,,,,,
Brescia Council,,Lombardy,"200,423",30 Sep 2019,,2050,emergenza climatica,https://www.cedamia.org/wp-content/uploads/2019/12/Brescia-BS.pdf,,,,,Partito Democratico,,,,,,,,,,
Brezzo di Bedero Municipal Council,,Lombardy,984,18 Dec 2019,,,emergenza climatica,http://reteperilclimadelverbano.it/doc/dichiarazione-di-emergenza-climatica/,https://www.varesenews.it/2020/11/anche-luino-pronta-dichiarare-lemergenza-climatica/1278600/,,,,,,,,,,,,,,
Brindisi Council,,Puglia,"87,141",14 Oct 2019,,,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2019/12/Brindisi-BR.pdf,,,,,indipendente di centro-sinistra,,,,Yes,,,,,,
Brusaporto City Council,,Lombardy,"4,611",4 Jun 2020,,,Climatica e Ambientale,https://www.comune.brusaporto.bg.it/export/sites/default/.galleries/documenti/ufficio-territorio/Mozione-Dichiarazione-Emergenza-Climatica.pdf,https://www.comune.brusaporto.bg.it/news-e-iniziative/novita/Dichiarazione-di-Emergenza-Climatica-e-Ambientale/,,,,,,,,Yes,,,,,,
Buttigliera Alta Town Council,,Piedmont,"6,409",29 Jul 2019,,,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2021/02/Buttigliera_Alta_Mozione-Dichirazione-emergenza-climatica.pdf,,,,,,,,,Yes,,,,,,
Caprie Municipal Council,,Piedmont,"2,091",27 Nov 2019,,,emergenza climatica,https://drive.google.com/drive/folders/1NnjpqX6wDirnPaFqR11OLCtl7JuSB96m,,,,,"lista civica ""Vivere Caprie""",,,,,,,,,,
Casnate con Bernate Council,,Lombardy,"4,908",11 Jul 2019,,,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2019/12/Casnate-con-Bernate-CO.pdf,,,,,,,,,,,,,,,
Castelfranco Emilia Town Council,,Emilia-Romagna,"32,613",10 Oct 2019,,,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2019/10/Castelfranco-Emilia-Allegato-1-Sottoscrizione-Mozione-Emergenza-Climatica.pdf,,,,,,,,,Yes,,,,,,
Castello Cabiaglio Municipal Council,,Lombardy,548,25 Apr 2020,,,emergenza climatica,http://reteperilclimadelverbano.it/doc/dichiarazione-di-emergenza-climatica/,https://www.facebook.com/FridaysForFutureLuino/posts/218451102916253,,,,,,,,,,,,,,
Cervia Town Council,,Emilia-Romagna,"28,700",30 Jul 2019,,2030,emergenza climatica,http://albo.comunecervia.it/web/albo-pretorio/papca-ap?p_p_id=jcitygovalbopubblicazioni_WAR_jcitygovalbiportlet&p_p_lifecycle=2&p_p_state=pop_up&p_p_mode=view&p_p_resource_id=downloadAllegato&p_p_cacheability=cacheLevelPage&controlPanelCategory=portlet_jcitygovalbopubblicazioni_WAR_jcitygovalbiportlet&_jcitygovalbopubblicazioni_WAR_jcitygovalbiportlet_id=53636&_jcitygovalbopubblicazioni_WAR_jcitygovalbiportlet_downloadSigned=false&_jcitygovalbopubblicazioni_WAR_jcitygovalbiportlet_action=mostraDettaglio&_jcitygovalbopubblicazioni_WAR_jcitygovalbiportlet_fromAction=recuperaDettaglio&fbclid=IwAR29DyWjfDilklLEJl7RggK3v9CptGw0gFFY1f158JfLlagMWw22C_uhOGc,,,,,,,,,Yes,,,,,,
Cesano Maderno Council,,Lombardy,"38,771",29 Oct 2019,,2030,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2019/12/Cesano-Maderno-MB.pdf,,,,,,,,,Yes,,,Yes,,,
Cesena City Council,,Emilia-Romagna,"97,137",27 Jun 2019,,,emergenza climatica,https://www.cedamia.org/wp-content/uploads/2019/07/Cesena-MOZIONE-DICHIARAZIONE-EMERGENZA-CLIMATICA-CESENA.pdf,https://www.cesenatoday.it/video/cesena-dichiara-emergenza-climatica-assessore-lucchi-intervista.html,,,,,,,,Yes,,,,,,
Chiaverano City Council,,Piedmont,"2,072",20 Mar 2020,,2050,emergenza climatica,https://comune.chiaverano.to.it/images/stories/documenti/10-dichiarazione_dello_stato_di_emergenza_climatica_ambientale.pdf,,,https://comune.chiaverano.to.it/avvisi-ai-cittadini/3185-consiglio-in-videoconferenza-e-dichiarazione-dello-stato-di-emergenza-climatica?jjj=1603883309580,,,,,,,,,,,,
Chieri Town Council,,Piedmont,"36,749",28 Jun 2019,,,emergenza climatica,https://www.comune.chieri.to.it/ambiente/emergenza-climatica,,,https://www.sichieri.it/2019/06/28/chieri-in-emergenza-climatica/,,,,,,Yes,,,,,,
Ciserano Municipal Council,,Lombardy,"5,270",23 Jul 2019,,,emergenza climatica,http://www.comune.ciserano.bg.it/c016075/po/mostra_news.php?id=437&area=H,,,,,,,,,,,,,,,
Civitavecchia City Council,,Lazio,"53,027",23 Sep 2019,,,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2019/09/Civitavecchia-RM.pdf,,,,,,,,,,,,,,,
Cocquio-Trevisago Municipal Council,,Lombardy,"4,701",26 Jun 2020,,,emergenza climatica,http://reteperilclimadelverbano.it/doc/dichiarazione-di-emergenza-climatica/,https://www.varesenews.it/2020/11/anche-luino-pronta-dichiarare-lemergenza-climatica/1278600/,,,,,,,,,,,,,,
Comabbio Municipal Council,,Lombardy,"1,025",23 Jun 2020,,,emergenza climatica,http://reteperilclimadelverbano.it/doc/dichiarazione-di-emergenza-climatica/,,,https://www.comune.comabbio.va.it/380-ase-nter-sultan,,,,,,,,,,,,
Condove Council,,Piedmont,"4,622",26 Sep 2019,,,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2019/12/Condove-TO.pdf,,,,,,,,,,,,,,,
Emilia-Romagna Region,,Emilia-Romagna,"4,446,220",24 Jul 2019,,,emergenza climatica,https://www.cedamia.org/wp-content/uploads/2020/02/Emilia-Romagna.pdf,https://www.reggionline.com/lemilia-romagna-dichiara-lo-emergenza-climatica/,,,,,,,,,Yes,,,,Yes,
Erchie Town Council,,Puglia,"8,671",23 Sep 2019,"
",,emergenza climatica,https://www.cedamia.org/wp-content/uploads/2019/10/Erchie-BR.pdf,,,,,,,,,Yes,,,,,,
Fano City Council,,Marche,"60,978",29 Sep 2020,,,emergenza climatica,,https://www.viverefano.com/2020/10/01/clini-soddisfazione-per-lapprovazione-in-consiglio-comunale-della-dichiarazione-di-emergenza-climatica/837980/,,,,,,,,Yes,,,,,,
Ferrara City Council,,Emilia-Romagna,"132,009",29 Jul 2019,,,climatica ed ambientale,https://www.climatealliance.org/fileadmin/Inhalte/2_Municipalities/Climate_Emergency/Ferrara_emergenza_climatica.pdf,,,,,,,,,,,,Yes,,,
Fiorano Modenese City Council,,Emilia-Romagna,"17,005",7 Jan 2020,,40% by 2030,climatica ed ambientale,,,,https://www.comune.fiorano-modenese.mo.it/avvisi/dichiarazione-di-emergenza-climatica#null,,,,,,Yes,,,,,,
Follonica Town Council,,Tuscany,"21,339",30 Jul 2019,,,emergenza climatica,https://www.cedamia.org/wp-content/uploads/2019/08/Follonica-GR.pdf,http://www.ilgiunco.net/2019/07/31/stato-di-emergenza-climatica-il-consiglio-approva-lordine-del-giorno-degli-studenti,,,,,,,,,,,,,,
Forlimpopoli Town Council,,Emilia-Romagna,"13,184",29 Jul 2019,,,climatica ed ambientale,http://www.comune.forlimpopoli.fc.it/upload/forlimpopoli_ecm10/gestionedocumentale/FORLIMPOPOLI29.7.19_784_8744.pdf,,,,,,,,,Yes,,,,,,
Formigine City Council,,Emilia-Romagna,"34,328",28 Feb 2020,,,climatica ed ambientale,,,,https://www.comune.formigine.mo.it/avvisi/avvisi-2020/consiglio-comunale-del-28-febbraio,,,,,,Yes,,,,,,
Friuli-Venezia Giulia Autonomous Region,,Friuli-Venezia Giulia,"1,216,524",12 Nov 2019,,2050,cli + amb + ecol,https://drive.google.com/drive/folders/10vI2P_SmSRM1P7CpJ6ASL0vqR94i9RKK,,,,,,,,,,,,,,,
Genoa City Council,,Liguria,"580,097",23 Jul 2019,2030,2030,climatica ed ambientale,https://smart.comune.genova.it/comunicati-stampa-articoli/consiglio-comunale-del-23-luglio,,,https://smart.comune.genova.it/comunicati-stampa-articoli/consiglio-comunale-del-23-luglio,,,,,,,,,,,,
Germignaga Municipal Council,,Lombardy,"3,721",6 Feb 2020,,,emergenza climatica,http://reteperilclimadelverbano.it/doc/dichiarazione-di-emergenza-climatica/,https://www.facebook.com/FridaysForFutureLuino/posts/161682668593097,,,,,,,,,,,,,,
Giaveno Municipal Council,,Piedmont,"16,419",4 Nov 2019,,,climatica ed ambientale,https://drive.google.com/drive/folders/1NnjpqX6wDirnPaFqR11OLCtl7JuSB96m,,,,,,,,,Yes,,,,,,
"Italy (national Parliament, Chamber of Deputies)",,,"60,317,116",12 Dec 2019,,,Climatica e Ambientale,https://www.facebook.com/muronirossella/posts/1427609390720134,http://www.greenreport.it/news/clima/il-parlamento-impegna-il-governo-italiano-a-dichiarare-emergenza-climatica/?fbclid=IwAR33y7V62uWbtVhoUbVh9yz7uVwEWddlJTF8JRsAc-gGmmyrxYSJbAXn0V8,,,,,,,,,Yes,,,,,
Lanciano City Council,,Abruzzo,"34,791",5 Aug 2019,,,Climatica e Ambientale,,https://www.lanciano24.it/cronaca/2019/08/06/il-consiglio-comunale-sottoscrive-la-dichiarazione-di-emergenza-climatica/,,,,,,,,Yes,,,,,,
Laveno-Mombello Municipal Council,,Lombardy,"8,991",19 Dec 2019,,,emergenza climatica,http://reteperilclimadelverbano.it/doc/dichiarazione-di-emergenza-climatica/,https://www.varesenews.it/2020/11/anche-luino-pronta-dichiarare-lemergenza-climatica/1278600/,,,,,,,,,,,,,,
Leggiuno Municipal Council,,Lombardy,"3,405",19 Feb 2021,,,emergenza climatica,http://reteperilclimadelverbano.it/doc/dichiarazione-di-emergenza-climatica/,,,http://www.comune.leggiuno.va.it/zf/index.php/atti-amministrativi/delibere/dettaglio/table-delibere-public-page/4/atto/GTVRnNE61WT0-H,,,,,,,,,,,,
Liguria Region,,Liguria,"1,557,533",8 Jul 2019,,2050,emergenza climatica,https://www.cedamia.org/wp-content/uploads/2020/02/Liguria-region-document.pdf,https://www.genova24.it/2019/07/regione-liguria-approva-stato-emergenza-climatica-fridays-for-future-torneremo-per-passare-ai-fatti-219941/,,,,,,,,,,,,,,
Limido Comasco Council,,Lombardy,"2,579",25 Jul 2019,,,emergenza climatica,https://www.cedamia.org/wp-content/uploads/2019/12/Limido-Comasco-CO.pdf,,,,,,,,,,,,,,,
Livorno City Council,,Tuscany,"158,493",29 Jul 2019,,2030,emergenza climatica,http://jcity.comune.livorno.it/web/trasparenza/storico-delibere-consiglio?p_p_id=jcitygovalbopubblicazioni_WAR_jcitygovalbiportlet&p_p_lifecycle=2&p_p_state=normal&p_p_mode=view&p_p_resource_id=downloadAllegato&p_p_cacheability=cacheLevelPage&p_p_col_id=column-1&p_p_col_count=1&_jcitygovalbopubblicazioni_WAR_jcitygovalbiportlet_id=181626&_jcitygovalbopubblicazioni_WAR_jcitygovalbiportlet_downloadSigned=false&_jcitygovalbopubblicazioni_WAR_jcitygovalbiportlet_action=mostraDettaglio&_jcitygovalbopubblicazioni_WAR_jcitygovalbiportlet_fromAction=recuperaDettaglio&fbclid=IwAR2hAEFeLs_qyq4bw08Br0sy8X75kyu5FCz_tD7FgDI9W_pkv74gDcLR9n4,,,,,,,,,Yes,,,,,,
Lucca City Council,,Tuscany,"89,346",4 Jun 2019,,,emergenza climatica,https://www.cedamia.org/wp-content/uploads/2020/01/Lucca-LU.pdf,,,,,,,,,Yes,,,,,,
Luino Municipal Council,,Lombardy,"14,324",30 Nov 2020,,,emergenza climatica,http://reteperilclimadelverbano.it/doc/dichiarazione-di-emergenza-climatica/,,,http://www.comune.luino.va.it/homepage/archivio/territorio/notizie/tavolo-strategia-emergenza-climatica.aspx,,,,,,,,,,,,
Maccagno con Pino e Veddasca Municipal Council,,Lombardy,"2,616",8 Aug 2020,,,emergenza climatica,http://reteperilclimadelverbano.it/doc/dichiarazione-di-emergenza-climatica/,https://www.facebook.com/LuinoNotizie/posts/anche-maccagno-con-pino-e-veddasca-approva-la-dichiarazione-di-emergenza-climati/3460054564028748/,,,,,,,,,,,,,,
Maglie City Council,,Puglia,"14,196",29 May 2019,,,emergenza climatica,https://www.halleyweb.com/maglie/zf/index.php/atti-amministrativi/delibere/dettaglio/atto/GTlRjeE65UT0-H,,,,,,,,,Yes,,,,,,
Mamoiada Council,,Sardinia,"2,582",3 Oct 2019,,,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2019/12/Mamoiada-NU.pdf,,,,,,,,,,,,,,,
Marano Vicentino Municipal Council,1,Veneto,"9,622",29 Jul 2019,,,Climatica e Ambientale,https://www.comune.marano.vi.it/po/mostra_news.php?id=2230&area=H,,,,,,,,,Yes,,,,,,
Marche Region,,Marche,"1,541,692",7 Jun 2019,,,emergenza climatica,https://drive.google.com/drive/folders/10vI2P_SmSRM1P7CpJ6ASL0vqR94i9RKK,,,,,,,,,,,,,,,
Melendugno City Council,,Puglia,"9,999",1 Jul 2019,,,emergenza climatica,http://www.emergenzaclimatica.it/2019/07/01/il-comune-di-melendugno-dichiara-lemergenza-climatica/,https://www.corrieresalentino.it/2019/07/emergenza-climatica-il-consiglio-comunale-di-melendugno-la-approva-allunanimita/,,,,,,,,Yes,,,,,,
Milan City Council,,Lombardy,"1,395,274",20 May 2019,,2050,Climatica e Ambientale,https://www.cedamia.org/ced-regions-in-italy/,https://tg24.sky.it/milano/2019/05/20/milano-mozione-emergenza-climatica.html,,,,,,Yes,,Yes,,,,,Yes,
Modena Council,,Emilia-Romagna,"184,732",25 Jul 2019,,2040,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2019/12/Modena-MO.pdf,,,,,,,,,Yes,,,Yes,,,
Montoro Town Council,,Campania,"19,776",19 Jul 2019,,,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2019/08/Montoro.pdf,,,,,,,,,,,,,,,
Naples Metropolitan City Council,,Campania,"967,068",24 May 2019,,2050,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2020/02/Napoli-NA.pdf,https://www.napolivillage.com/politica/la-giunta-approva-delibera-con-dichiarazione-simbolica-di-stato-di-emergenza-climatica-e-ambientale/,,,,,,,,,,,,,,
Olbia Municipal Council,,Sardinia,"60,345",26 Sep 2019,,,Climatica e Ambientale,https://drive.google.com/drive/folders/1NnjpqX6wDirnPaFqR11OLCtl7JuSB96m,,,,,,,,,Yes,,,,,,
Paderno Dugnano City Council,,Lombardy,"46,701",17 Sep 2019,,,emergenza climatica,https://www.cedamia.org/wp-content/uploads/2019/09/Paderno-Dugnano-MI.pdf,,,,,,,,,Yes,,,,,,
Padua City Council,,Veneto,"214,125",10 Jun 2019,,40% by 2030,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2019/06/Padova-PD.pdf,https://mattinopadova.gelocal.it/padova/cronaca/2019/06/12/news/voto-unanime-in-aula-il-consiglio-riconosce-l-emergenza-climatica-1.33565889?refresh_ce,,,,,,,,,,,,,,
Parma City Council,,Emilia-Romagna,"197,132",22 Jul 2019,,,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2019/09/Parma-2019_moz_0000014_pg_106645___mozione_lavagetto___7__stato_di_emergenza_climatico_signed.pdf,https://www.ilparmense.net/parma-emergenza-climatica-fridays-future/,,,,,,,,Yes,,,,,,
Pazzano Village Council,,Calabria,529,16 Jul 2019,,,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2019/07/Pazzano.pdf,,,,,,,,,,,,,,,
Perugia City Council,,Umbria,"168,066",14 Jul 2020,,,emergenza climatica,,https://www.perugiatoday.it/politica/comune-perugia-approvato-ordine-del-giorno-centrosinistra-dichiarato-lo-stato-di-emergenza-climatica.html,,,,,,,,,,,,,,
Piedmont Region,,Piedmont,"4,377,941",12 Dec 2019,,,Climatica e Ambientale,https://drive.google.com/drive/folders/10vI2P_SmSRM1P7CpJ6ASL0vqR94i9RKK,,,,,,,,,,Yes,,,,,
Pinerolo City Council,,Piedmont,"35,805",24 Jul 2019,,,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2019/09/Pinerolo-TO.pdf,,,,,,,,,Yes,,,,,,
Pisa Council,,Tuscany,"91,104",22 Oct 2019,,,emergenza climatica,https://www.cedamia.org/wp-content/uploads/2019/12/Pisa-PI.pdf,,,,,,,,,Yes,,,,,,
Pistoia City Council,,Tuscany,"90,363",22 Jul 2019,,,Climatica e Ambientale,https://www.comune.pistoia.it/sites/default/files/documenti_consiglio/allegato_d001074_0.pdf,,,,,,,,,,,,,,,
Placanica Council,,Calabria,"1,308",7 Jun 2019,,,emergenza climatica,,https://www.ciavula.it/2019/06/emergenza-climatica-placanica-fa-il-suo-dovere/,,,,,,,,,,,,,,
Pordenone Council,,Friuli-Venezia Giulia,"51,632",21 Oct 2019,,40% by 2030,cli + amb + ecol,https://www.cedamia.org/wp-content/uploads/2019/12/Pordenone-PN.pdf,,,,,,,,,Yes,,,,,,
Porto Valtravaglia City Council,,Lombardy,"2,464",3 Jun 2020,,,emergenza climatica,,https://www.varesenews.it/2020/06/emergenza-climatica-anche-porto-valtravaglia-firma-la-dichiarazione/934396/,,,,,,,,,,,,,,
Prato City Council,,Tuscany,"195,089",25 Sep 2019,,,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2019/10/Prato-PO.pdf,,,,,,,,,Yes,,,,,,
Preganziol Municipal Council,,Veneto,"16,908",17 Sep 2019,,,climatica ed ecologica,https://www.cedamia.org/wp-content/uploads/2019/09/Preganziol-TV.pdf,,,,,,,,,,,,,,,
Puglia Region,,Puglia,"4,063,888",5 Nov 2019,,2050,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2020/02/Puglia-Mozione.pdf,,,https://www.consiglio.puglia.it/dettaglio/contenuto/70459/-Dichiarazione-di-Emergenza-Climatica-e-Ambientale-della-Regione-Puglia--approvata-mozione-dal-Consiglio-regionale,,,,,,,,,,,,
Ranco Municipal Council,,Lombardy,"1,188",4 Mar 2020,,,emergenza climatica,http://reteperilclimadelverbano.it/doc/dichiarazione-di-emergenza-climatica/,https://www.varesenews.it/2020/11/anche-luino-pronta-dichiarare-lemergenza-climatica/1278600/,,,,,,,,,,,,,,
Ravenna Municipal Council,,Emilia-Romagna,"158,784",16 Jul 2019,,2040,emergenza climatica,https://drive.google.com/file/d/1mNeyEHHbAab2BfEpQsfBhIk2iYMYOUpF/view,ttps://www.corriereromagna.it/ravenna-approvata-la-mozione-emergenza-climatica/,,,,,,,,Yes,,,,,,
Rimini Council,,Emilia-Romagna,"150,951",12 Sep 2019,,,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2019/12/Rimini-RN.pdf,,,,,,,,,Yes,,,,,,
